example_id,method,rank,feature,feature_value,contribution,direction,contribution_scale
low_score_false_negative,SHAP,8,neighbor_prev_7d_severity_weight_sum,0.0,-0.050405725836753845,decreases_risk,xgboost_raw_margin
low_score_false_negative,LIME,1,hist_cell_hour_risk <= 0.00,,-0.4285360681457578,decreases_risk,local_probability_surrogate
low_score_false_negative,LIME,2,neighbor_prev_7d_incident_count <= 1.00,,-0.05474953967699239,decreases_risk,local_probability_surrogate
low_score_false_negative,LIME,3,prev_7d_incident_count <= 0.00,,-0.05473167402427553,decreases_risk,local_probability_surrogate
low_score_false_negative,LIME,4,neighbor_prev_3h_incident_count <= 0.00,,-0.03341235702430841,decreases_risk,local_probability_surrogate
low_score_false_negative,LIME,5,hist_cell_risk <= 0.00,,-0.02884496409776843,decreases_risk,local_probability_surrogate
low_score_false_negative,LIME,6,neighbor_prev_7d_active_cell_count <= 1.00,,-0.027494689947978414,decreases_risk,local_probability_surrogate
low_score_false_negative,LIME,7,year > 2022.00,,0.026715514444973443,increases_risk,local_probability_surrogate
low_score_false_negative,LIME,8,day_of_week_Saturday > 0.00,,0.025623291128775812,increases_risk,local_probability_surrogate
low_risk_true_negative,SHAP,1,hist_cell_hour_risk,0.0,-8.356596946716309,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,2,hist_cell_risk,0.0,-0.5910738706588745,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,3,neighbor_prev_7d_incident_count,0.0,-0.28385433554649353,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,4,prev_7d_incident_count,0.0,-0.12885624170303345,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,5,is_weekend,1.0,-0.08207039535045624,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,6,neighbor_prev_7d_active_cell_count,0.0,-0.0760248526930809,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,7,hour_block,2.0,-0.06303787976503372,decreases_risk,xgboost_raw_margin
low_risk_true_negative,SHAP,8,neighbor_prev_24h_incident_count,0.0,-0.060826625674963,decreases_risk,xgboost_raw_margin
low_risk_true_negative,LIME,1,hist_cell_hour_risk <= 0.00,,-0.42239098293578636,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,2,prev_3h_incident_count <= 0.00,,-0.054803836277572245,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,3,neighbor_prev_7d_incident_count <= 1.00,,-0.05060494638473871,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,4,prev_7d_incident_count <= 0.00,,-0.04801120691875821,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,5,hist_cell_risk <= 0.00,,-0.035492294027340526,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,6,neighbor_prev_24h_incident_count <= 0.00,,-0.029024669654345747,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,7,neighbor_prev_3h_incident_count <= 0.00,,-0.027330337454470634,decreases_risk,local_probability_surrogate
low_risk_true_negative,LIME,8,0.00 < is_weekend <= 1.00,,-0.024004103294837677,decreases_risk,local_probability_surrogate
